"","Team_ID","Year","Player_ID","First_Name","Last_Name","Height","Weight","Shooting_Hand","FirstNHLseason","LastNHLseason","Position_Played","Birth_Country","Birth_State","Birth_City","Stint","Games_Played","Goals","Assists","Points","Penalty_Minutes","Plus_Minus","PP_Goals","PP_Assists","SH_Goals","SH_Assists","Gamewinning_Goals","GameTying_Goals","Shots","GoalieGames_Played","GoalieMinutes","GoalieWins","GoalieLosses","GoalieShutouts","GoalieGoals_Against","GoalieShots_Against","Draft_Pick","Draft_Year","Draft_Team","Draft_Age","AmateurTeam","AmateurLeague","BirthDate","DeathDate","Conference_ID","Division_ID","SeasonEnd_Rank","Playoff_Result","Team_Total_Games","Team_Wins","Team_Losses","Team_Ties","Team_OT_Losses","Team_Points","Team_ShootoutWins","Team_ShootoutLosses","Team_GoalsFor","Team_GoalsAgainst","TeamName","Team_PenaltyMin","Team_BenchMinors","Team_PPG","Playoffs","Draft_Round","GoalsPerGame","PointsPerGame","ShotsPerGame","PercentGoals","PercentGames","YearsExperience","BirthRegion"
"1","ANA",2000,"aaltoan01","Antti","Aalto",73,210,"L",1997,2000,"C","Finland",NA,"Lappeenranta",1,12,1,1,2,2,1,0,0,0,0,0,0,18,NA,NA,NA,NA,NA,NA,NA,134,1993,"Anaheim Ducks",18,"TPS Turku",NA,1975-03-04,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"5",0.0833333333333333,0.166666666666667,1.5,0.531914893617021,14.6341463414634,3,"Europe"
"2","ANA",2000,"leclemi01","Mike","Leclerc",74,208,"L",1996,2005,"L","Canada","MB","Winnipeg",1,54,15,20,35,26,-1,3,8,0,0,3,2,130,NA,NA,NA,NA,NA,NA,NA,55,1995,"Anaheim Ducks",18,"Brandon ","WHL",1976-11-10,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"2",0.277777777777778,0.648148148148148,2.40740740740741,7.97872340425532,65.8536585365854,4,"Americas"
"3","ANA",2000,"saleiru01","Ruslan","Salei",73,212,"L",1996,2010,"D","Belarus",NA,"Minsk",1,50,1,5,6,70,-14,0,0,0,0,0,0,73,NA,NA,NA,NA,NA,NA,NA,9,1996,"Anaheim Ducks",21,"Las Vegas ","IHL",1974-11-02,2011-09-07,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"1",0.02,0.12,1.46,0.531914893617021,60.9756097560976,4,"Europe"
"4","ANA",2000,"crowlmi01","Mike","Crowley",71,190,"L",1997,2000,"D","USA","MN","Bloomington",1,39,1,10,11,20,-16,0,2,0,0,1,0,45,NA,NA,NA,NA,NA,NA,NA,140,1993,"Philadelphia Flyers",18,"Bloomington-Jefferson ","High-MN",1975-07-04,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"5",0.0256410256410256,0.282051282051282,1.15384615384615,0.531914893617021,47.5609756097561,3,"Americas"
"5","ANA",2000,"wrenbo01","Bob","Wren",70,185,"L",1997,2001,"C","Canada","ON","Preston",1,1,0,0,0,0,-1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,94,1993,"Los Angeles Kings",18,"Detroit ","OHL",1974-09-16,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"4",0,0,0,0,1.21951219512195,3,"Americas"
"6","ANA",2000,"vishnvi01","Vitaly","Vishnevski",74,215,"L",1999,2007,"D","Russia",NA,"Kharkov",1,76,1,10,11,99,-1,0,0,0,1,0,0,49,NA,NA,NA,NA,NA,NA,NA,5,1998,"Anaheim Ducks",18,"Torpedo Yaroslavl 2",NA,1980-03-18,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"1",0.0131578947368421,0.144736842105263,0.644736842105263,0.531914893617021,92.6829268292683,1,"Europe"
"7","ANA",2000,"havelni01","Niclas","Havelid",72,200,"L",1999,2008,"D","Sweden",NA,"Enkoping",1,47,4,10,14,34,-6,2,5,0,0,1,0,69,NA,NA,NA,NA,NA,NA,NA,83,1999,"Anaheim Ducks",26,"Malmo",NA,1973-04-12,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"3",0.0851063829787234,0.297872340425532,1.46808510638298,2.12765957446809,57.3170731707317,1,"Europe"
"8","ANA",2000,"titovge01","German","Titov",73,203,"L",1993,2001,"L","Russia",NA,"Moscow",1,71,9,11,20,61,-21,1,4,0,0,0,0,78,NA,NA,NA,NA,NA,NA,NA,252,1993,"Calgary Flames",27,"TPS Turku",NA,1965-10-16,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"8",0.126760563380282,0.28169014084507,1.09859154929577,4.78723404255319,86.5853658536585,7,"Europe"
"9","ANA",2000,"cummiji01","Jim","Cummins",74,212,"R",1991,2003,"R","USA","MI","Dearborn",1,79,5,6,11,167,-11,0,0,0,0,1,0,45,NA,NA,NA,NA,NA,NA,NA,67,1989,"New York Rangers",19,"Michigan State ","CCHA",1970-05-17,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"3",0.0632911392405063,0.139240506329114,0.569620253164557,2.65957446808511,96.3414634146341,9,"Americas"
"10","ANA",2000,"mcinnma01","Marty","McInnis",71,187,"R",1991,2002,"L","USA","MA","Hingham",1,75,20,22,42,40,-21,10,11,0,0,1,0,136,NA,NA,NA,NA,NA,NA,NA,163,1988,"New York Islanders",18,"Milton Academy ","High-MA",1970-06-02,NA,"WC","PC",5,NA,82,25,41,11,5,66,0,0,188,245,"Mighty Ducks of Anaheim",1136,12,66,0,"6",0.266666666666667,0.56,1.81333333333333,10.6382978723404,91.4634146341463,9,"Americas"
